Date,Time,ChamTemp,ChamRH,LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,Total.Solar..Watt.m2.,Simulated.Date.Time
08/08/2016,0:00,19.4,78,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 0:00
08/08/2016,0:15,19.1,79,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 0:15
08/08/2016,0:30,18.8,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 0:30
08/08/2016,0:45,18.6,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 0:45
08/08/2016,1:00,18.3,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 1:00
08/08/2016,1:15,18,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 1:15
08/08/2016,1:30,17.7,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 1:30
08/08/2016,1:45,17.5,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 1:45
08/08/2016,2:00,17.2,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 2:00
08/08/2016,2:15,17,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 2:15
08/08/2016,2:30,16.7,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 2:30
08/08/2016,2:45,16.5,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 2:45
08/08/2016,3:00,16.3,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 3:00
08/08/2016,3:15,16.1,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 3:15
08/08/2016,3:30,15.9,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 3:30
08/08/2016,3:45,15.8,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 3:45
08/08/2016,4:00,15.6,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 4:00
08/08/2016,4:15,15.5,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 4:15
08/08/2016,4:30,15.3,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 4:30
08/08/2016,4:45,15.2,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 4:45
08/08/2016,5:00,15.2,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 5:00
08/08/2016,5:15,15.1,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 5:15
08/08/2016,5:30,15,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 5:30
08/08/2016,5:45,15,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 5:45
08/08/2016,6:00,15,80,0,0,0,0,0,0,0,0,10,0,0,08/08/2016 6:00
08/08/2016,6:15,15,80,0,0,0,0,0,0,0,0,10,0,18.21639938,08/08/2016 6:15
08/08/2016,6:30,15,80,0,0,0,0,0,0,0,0,10,0,106.5948569,08/08/2016 6:30
08/08/2016,6:45,15.1,80,0,0,0,0,0,0,0,0,10,26,231.3040764,08/08/2016 6:45
08/08/2016,7:00,15.2,80,0,0,0,0,0,0,0,0,10,40,353.8612216,08/08/2016 7:00
08/08/2016,7:15,15.2,80,0,0,0,0,0,0,0,0,10,52,461.4359017,08/08/2016 7:15
08/08/2016,7:30,15.3,80,0,0,0,0,0,0,0,0,10,62,552.2768744,08/08/2016 7:30
08/08/2016,7:45,15.5,80,0,0,0,0,0,0,0,0,10,70,628.0537886,08/08/2016 7:45
08/08/2016,8:00,15.6,80,0,0,0,0,0,15,0,0,10,77,691.1478346,08/08/2016 8:00
08/08/2016,8:15,15.8,80,0,16,15,0,0,18,0,0,10,83,743.7989943,08/08/2016 8:15
08/08/2016,8:30,15.9,80,0,19,19,0,0,21,0,0,10,88,787.8931509,08/08/2016 8:30
08/08/2016,8:45,16.1,80,0,23,22,0,0,24,0,0,10,92,824.9554939,08/08/2016 8:45
08/08/2016,9:00,16.3,80,0,27,26,0,0,27,0,0,10,96,856.201354,08/08/2016 9:00
08/08/2016,9:15,16.5,80,0,31,30,0,0,30,0,0,10,99,882.5950869,08/08/2016 9:15
08/08/2016,9:30,16.7,80,0,35,34,16,0,33,0,0,10,101,904.9021552,08/08/2016 9:30
08/08/2016,9:45,17,80,0,39,37,18,0,35,0,16,10,103,923.7313308,08/08/2016 9:45
